"id","idasientopre","cuando","ejemplo","nota"
"57","57","Cada mes cuando el banco te carga la cuota del préstamo. La cuota tiene dos partes: amortización del capital (reduce la deuda, NO es gasto) e intereses (sí son gasto deducible). Consulta el cuadro de amortización del banco para saber el desglose exacto de cada cuota.","Cuota mensual: 800 € capital + 150 € intereses = 950 € total:
• A = 0 | C = 800 (capital) | D = 150 (intereses)
Resultado: reduce deuda 800 €, gasto financiero 150 €, sale banco 950 €.","Ejemplo año 1 (cuotas iniciales, más intereses):
Cuota 950 €: capital 800 € + intereses 150 €.

Ejemplo año 4 (cuotas finales, más capital):
Cuota 950 €: capital 920 € + intereses 30 €.

La suma de capital (5200) debe igualar el saldo pendiente del préstamo en todo momento. Los intereses (6623) son deducibles en IS/IRPF."
"58","58","Cuando utilizas dinero de tu póliza de crédito (línea de crédito bancaria).","Dispones de 10.000 € de la póliza:
• A = 0 (banco) | B = 10.000
Resultado: entra dinero en banco, deuda con banco por crédito dispuesto 10.000 €.","Solo pagas intereses por lo dispuesto, no por el límite total de la póliza."
"59","59","Cuando devuelves dinero a la póliza de crédito.","Devuelves 5.000 € a la póliza:
• A = 0 (póliza 5201) | B = 5.000
Resultado: cancela parte de la deuda (5201), sale dinero del banco.",""
"60","60","Cada mes al pagar la cuota del leasing (arrendamiento financiero). La cuota tiene dos partes: recuperación del coste del bien (capital) e intereses financieros.","Cuota leasing furgoneta: 500 € capital + 100 € intereses = 600 €:
• A = 001 (acreedor leasing CP 524) | C = 500 | D = 100
Resultado: cancela deuda 500 €, gasto intereses 100 €, sale banco 600 €.","LEASING FINANCIERO vs RENTING:
• LEASING FINANCIERO: el bien se activa en balance (asiento #61) y se amortiza. Intereses deducibles. Con opción de compra al final.
• RENTING: NO se activa el bien. Toda la cuota es gasto en cuenta 621 → asiento #144.

VENTAJA FISCAL IS: permite amortización acelerada del bien (hasta el doble del coeficiente máximo para PYMES)."
"61","61","Al firmar el contrato de leasing, para activar el bien en el balance.","Furgoneta en leasing: valor total 20.000 €. Cuotas CP primer año: 5.500 €. Cuotas LP resto: 14.500 €:
• A = 001 (vehículo 217) | B = 20.000 | C = 14.500 (LP) | D = 5.500 (CP)
Resultado: activo 20.000 €, deuda LP 14.500 €, deuda CP 5.500 €.","El valor a activar es el valor razonable del bien o el valor actual de las cuotas, el menor de los dos."
"62","62","Al cierre del ejercicio para registrar el gasto del IS. SOLO para SL, SA y otras entidades sujetas al IS.

Autónomos y comunidades de bienes NO hacen este asiento.","Beneficio antes de impuestos: 50.000 €. IS al 25% = 12.500 €:
• A = 0 (H.P. acreedora IS 4752) | B = 12.500
Resultado: gasto IS 12.500 € (cuenta 6300), deuda con Hacienda.","TIPOS IS 2025 (Ley 7/2024 — aplicables al ejercicio 2025, declaración julio 2026):
• MICROEMPRESAS (facturación < 1M€ y plantilla media < 10 trabajadores):
  - Primeros 50.000 € de base imponible: 21%
  - Resto: 22%
• PYMES (facturación entre 1M€ y 10M€): 24%
• Tipo GENERAL (facturación > 10M€): 25%
• Empresa nueva creación (primeros 2 años con beneficio): 15%
• Cooperativas fiscalmente protegidas: 20%

COMUNIDAD DE BIENES:
NO tributa en IS. Cada comunero imputa su parte en su IRPF o IS propio. La CB presenta el modelo 184 en enero (informativo de atribución de rentas).

AJUSTES EXTRACONTABLES:
El resultado contable ≠ base imponible. Hay diferencias permanentes (sanciones, donativos no deducibles) y temporarias (amortizaciones aceleradas, provisiones). Para asientos de impuesto diferido, ver asientos #157, #158 y #159."
"63","63","Al cierre del ejercicio, primer paso para distribuir el resultado. Este asiento solo tiene una línea y debe completarse con #64, #65 o #27.","Solo una línea: 129 debe B (importe del resultado).
Combinar con #65 (reserva legal) + #27 (reservas voluntarias) + #25 (dividendos).","Este asiento por sí solo deja el asiento descuadrado. Es un asiento orientativo; adapta según la distribución acordada."
"64","64","Cuando el ejercicio anterior tuvo pérdidas y las compensas con el beneficio actual.","Pérdidas de ejercicios anteriores: 3.000 €. Beneficio actual: 10.000 €:
• A = 0 (pérdidas 121) | B = 3.000
Resultado: reduce las pérdidas acumuladas, reduce el resultado disponible.","Las pérdidas pueden compensarse hasta 70% de la base imponible positiva del IS."
"65","65","Las sociedades están obligadas a dotar el 10% del beneficio a reserva legal hasta que alcance el 20% del capital social.","Beneficio: 25.000 €. Reserva legal obligatoria: 10% = 2.500 €:
• A = 0 (reserva legal 112) | B = 2.500
Resultado: reduce resultado, aumenta reserva legal.","Una vez que la reserva legal supera el 20% del capital social, ya no es obligatorio seguir dotando."
"66","66","Al cierre del ejercicio para ajustar el valor contable del inventario al recuento físico real. Obligatorio en empresas comerciales e industriales que llevan existencias.","Existencias iniciales: 8.000 €. Inventario físico final: 10.500 €. AUMENTO 2.500 €:
• A = 0 (existencias 300) | B = 2.500
Resultado: aumenta stock 2.500 €, ingreso variación existencias (710) 2.500 €.

Si hubiera DISMINUCIÓN de 1.000 €: 300 al haber y 610 al debe.","MÉTODO DE VALORACIÓN:
• PMP (Precio Medio Ponderado): el más habitual en España.
• FIFO: también admitido por el PGC.
• LIFO: NO permitido por el PGC.

Si parte del stock está obsoleto o deteriorado, dota el asiento #89 ANTES de este.

AUTÓNOMOS EN ESTIMACIÓN DIRECTA SIMPLIFICADA: Hacienda no suele exigirlo si el ajuste es pequeño, pero técnicamente es obligatorio si hay existencias significativas."
"67","67","Cuando el trabajador solicita un anticipo de nómina antes de que llegue el día de pago habitual.","Anticipas 300 € a María a mitad de mes:
• A = 001 (empleado 460) | B = 300
Resultado: crédito con el empleado (460), sale dinero del banco.","Al calcular la nómina del mes, descuenta el anticipo del neto a pagar. El saldo de la cuenta 460 debe quedar en cero al final del mes."
"68","68","Cuando despides a un trabajador y debes pagarle la indemnización legal.","Indemnización de 4.500 € a un empleado:
• A = 001 (empleado 465) | B = 4.500
Resultado: gasto 4.500 € (cuenta 641), deuda con el empleado.","La indemnización es deducible en IS si está dentro de los límites legales (20 días/año, máx. 12 mensualidades). El exceso no es deducible."
"69","69","Para gastos como formación de empleados, tickets restaurante, seguro médico colectivo, guarderías...","Curso de formación para empleados: 500 € + 105 € IVA:
• A = 0 (acreedor 410) | B = 500 | C = 105
Resultado: gasto social 500 €, IVA deducible 105 €, deuda con formadora 605 €.","El seguro médico colectivo para empleados está exento de IVA y tiene límites de deducibilidad en IS (500 € por trabajador/año)."
"70","70","Para facturas de agencias de transporte, mensajería, correos o portes de mercancías.","Factura de MRW: 85 € + 17,85 € IVA (21%):
• A = 006 (terminación MRW) | B = 85 | C = 17,85
Resultado: gasto transporte 85 €, IVA deducible 17,85 €, deuda 102,85 €.",""
"71","71","Para facturas de agencias de publicidad, diseño gráfico, Google Ads, Meta Ads, imprentas, ferias, patrocinios...","Factura agencia marketing digital: 500 € + 105 € IVA:
• A = 007 (terminación agencia) | B = 500 | C = 105
Resultado: gasto publicidad 500 €, IVA deducible 105 €, deuda 605 €.","Las comidas de representación con clientes también van a la cuenta 627."
"72","72","Para las comisiones de mantenimiento de cuenta, transferencias, TPV, descubiertos o cualquier cargo bancario.","Comisión mantenimiento trimestral: 18 €:
• A = 0 (banco) | B = 18
Resultado: gasto bancario 18 €, sale del banco.","Las comisiones bancarias están EXENTAS de IVA. No añadas IVA."
"73","73","Para cualquier gasto de servicio que no tenga asiento específico: suscripciones de software (Office 365, Adobe, Dropbox, FacturaScripts...), limpieza, seguridad, plataformas de venta online, honorarios de diseñadores web, servicios de hosting...","Suscripción Adobe Creative Cloud mensual: 60 € + 12,60 € IVA:
• A = 008 (terminación Adobe) | B = 60 | C = 12,60
Resultado: gasto servicio 60 €, IVA deducible 12,60 €, deuda 72,60 €.","¿En qué cuenta va cada servicio?
• Software en suscripción mensual (SaaS): cuenta 629.
• Limpieza del local: cuenta 629 → usa asiento #138.
• Publicidad / marketing: cuenta 627 → usa asiento #71.
• Transporte / mensajería: cuenta 624 → usa asiento #70.
• Reparaciones: cuenta 622 → usa asiento #18.
• Gestoría / asesoría (SL sin retención): cuenta 623 → usa asiento #141.
Si tienes dudas, usa 629 que es el cajón de sastre de servicios exteriores."
"74","74","Cuando pagas tributos locales: IAE, IBI de locales de empresa, tasas municipales de basuras, vados permanentes, licencias de apertura, etc.","IAE anual: 280 €:
• A = 0 (banco) | B = 280
Resultado: gasto tributo 280 € (cuenta 631), sale del banco.","IAE - ¿QUIÉN PAGA?
• Autónomos: EXENTOS SIEMPRE.
• Comunidades de Bienes: exentas si facturación < 1.000.000 €.
• SL / SA con facturación < 1.000.000 €: EXENTAS.
• SL / SA con facturación ≥ 1.000.000 €: SÍ pagan IAE.

IBI:
Lo paga el propietario del inmueble. Si eres arrendatario, normalmente NO (salvo que el contrato te lo traslade expresamente).

OTROS:
• Tasa de basuras: depende del municipio. Puede recaer sobre el ocupante aunque sea arrendatario.
• IVTM (Impuesto Vehículos Tracción Mecánica): pago anual por los vehículos de empresa. Va a cuenta 631."
"75","75","Cuando llevas al banco un efecto comercial (letra de cambio o pagaré) de un cliente y el banco te adelanta el dinero antes del vencimiento, descontando intereses.","Pagaré de 5.000 €. Banco cobra 75 € de intereses. Te ingresa 4.925 €
• A = 001 (efecto 4310) | B = 5.000 | C = 75
Resultado: cobras 4.925 €, gasto intereses 75 €, deuda contingente con banco 5.000 €.","Hasta que el cliente pague al banco al vencimiento, la deuda sigue siendo tuya (reflejada en cuenta 5208).
• Al vencimiento y cobro: asiento #76
• Si el cliente no paga (impago): asiento #77 (efecto devuelto + comisión)

ALTERNATIVA FACTORING SIN RECURSO:
Si cedes la factura sin recurso, el riesgo pasa al factor y no hay deuda contingente."
"76","76","Cuando vence el plazo del efecto descontado y el banco lo cobra al cliente (cancela la deuda).","Vencimiento del pagaré de 5.000 €:
• A = 0 (banco) | B = 5.000
Resultado: cancela la deuda con el banco (5208), entra dinero en banco.",""
"77","77","Cuando el banco nos devuelve el efecto por impago del cliente.","Pagaré de 5.000 € devuelto impagado. Comisión bancaria: 45 €:
• A = 001 (efecto impagado 4315) | B = 5.000 | C = 45
Resultado: activa cuenta de efectos impagados (4315), gasto comisión 45 €, cargo banco 5.045 €.","Después de este asiento, reclama al cliente. Si no paga, dota deterioro con el asiento #22."
"78","78","Cuando transfieres dinero de una cuenta bancaria tuya a otra también tuya (por ejemplo, para optimizar tesorería).","Transferencia de 5.000 € del banco A al banco B:
• A = 001 (banco origen) | B = 002 (banco destino)
Resultado: sale del banco A (572.001), entra en banco B (572.002).",""
"79","79","Cuando pagas una fianza al alquilar un local, al contratar un suministro, a un proveedor de servicios...","Fianza de 2 meses de alquiler: 1.600 €:
• A = 001 (fianza 565) | B = 1.600
Resultado: activo en balance (565), sale dinero del banco.","La fianza NO es un gasto. Es un activo que te devolverán al terminar el contrato. Usa el asiento #80 cuando te la devuelvan."
"80","80","Cuando te devuelven la fianza al terminar el contrato.","Devolución fianza local: 1.600 €:
• A = 0 (banco) | B = 1.600
Resultado: entra dinero en banco, cancela el activo de fianza (565).",""
"81","81","Cuando recibes una subvención de una administración para comprar un bien de inversión (maquinaria, vehículo, reforma del local...).","Subvención del 30% de una máquina de 10.000 € = 3.000 €:
• A = 0 (subvención capital 130) | B = 3.000
Resultado: entra dinero en banco, subvención en patrimonio neto (130).","La subvención de capital NO es ingreso inmediato. Se imputa al resultado gradualmente a medida que amortizas el bien (#82). Consulta con tu gestor el tratamiento fiscal."
"82","82","Cada año, para imputar la parte proporcional de la subvención de capital al resultado del ejercicio (a medida que amortizas el bien).","Subvención de 3.000 € para máquina amortizada en 10 años. Imputación anual: 300 €:
• A = 0 | B = 300
Resultado: reduce la subvención en balance (840), ingreso del ejercicio 300 € (746).","Solo disponible en PGC completo (grupos 8 y 9). En PGC PYMES la imputación va directamente: 130 debe / 746 haber."
"83","83","Cuando los socios aportan nuevo capital a la sociedad.","Ampliación de capital de 30.000 € desembolsado al contado:
• A = 0 (capital social 100) | B = 30.000
Resultado: entra dinero en banco, aumenta capital social.","La ampliación de capital requiere escritura pública e inscripción en el Registro Mercantil. Consulta con el notario."
"84","84","Cuando un socio presta dinero a la empresa (préstamo de socio, no aportación de capital).","Socio presta 20.000 € a la empresa:
• A = 001 (cuenta corriente socio 551) | B = 20.000
Resultado: entra dinero en banco, deuda con el socio (551).","Documenta el préstamo con contrato firmado. Si devenga intereses, declararlos en la renta del socio y retener el 19%."
"85","85","Cuando la empresa devuelve el dinero prestado por un socio.","Devolución de 20.000 € al socio:
• A = 001 (cuenta corriente socio 551) | B = 20.000
Resultado: cancela la deuda con el socio, sale dinero del banco.",""
"86","86","Cuando recibes una factura de materias primas que usas para fabricar productos (no para revender directamente).","Telas para fabricar ropa: 1.500 € + 315 € IVA:
• A = 002 (terminación proveedor) | B = 1.500 | C = 315
Resultado: gasto materia prima 1.500 €, IVA 315 €, deuda proveedor 1.815 €.",""
"87","87","Al cierre del ejercicio para ajustar el stock de materias primas al inventario físico.","Materias primas inicio: 5.000 €. Materias primas fin: 4.200 €. Disminución: 800 €:
• A = 0 (310) | B = 800
Resultado: reduce stock de materias primas, variación de existencias.",""
"88","88","Al cierre del ejercicio para ajustar el stock de productos terminados (empresas fabricantes).","Productos terminados inicio: 12.000 €. Fin: 15.000 €. Aumento: 3.000 €:
• A = 0 (350) | B = 3.000
Resultado: aumenta stock productos terminados, ingreso variación existencias.",""
"89","89","Cuando parte del stock se ha estropeado, quedado obsoleto o ya no tiene salida al mercado.","Stock de ropa de temporada pasada: 1.200 € que no se venderá:
• A = 0 (deterioro 390) | B = 1.200
Resultado: gasto deterioro 1.200 €, fondo de deterioro existencias 1.200 €.","Si finalmente se vende aunque sea con descuento, revierte el deterioro con 390 debe / 7931 haber."
"90","90","Cuando compras una licencia de software con precio superior a ~300 € y vida útil mayor a un año (ERP, CRM, suite ofimática...).","Licencia ERP empresarial: 2.400 € + 504 € IVA:
• A = 001 (software 206) | B = 2.400 | C = 504
Resultado: activo intangible 2.400 €, IVA 504 €, deuda proveedor 2.904 €.","Amortiza con el asiento #45. Coeficiente máximo: 33% anual. Las suscripciones mensuales (SaaS) son gasto directo, no se activan."
"91","91","Cuando repones combustible en el vehículo de empresa y pagas con efectivo o tarjeta. IVA al 21% (tipo general). Si el IVA está reducido temporalmente al 10%, usa el asiento #131.","Ticket gasolinera: base 54 € + IVA 21% 11,34 € = total 65,34 €
• A = 0 (caja/banco) | B = 54 | C = 11,34","DEDUCIBILIDAD DEL IVA:
• Vehículo uso EXCLUSIVO empresarial (camión, furgoneta reparto, taxi…): 100%. C = B × 0.21
• Vehículo uso MIXTO (turismo, todoterreno…): 50%. C = B × 0.21 × 0.5

DEDUCIBILIDAD DEL GASTO EN IS/IRPF:
Deducible si el vehículo está afecto a la actividad. En vehículos mixtos, documenta el uso empresarial."
"92","92","Para tickets de parking de empresa o peajes en autopista.","Parking aeropuerto: 24,20 € total. Base: 20 €. IVA 21%: 4,20 €:
• A = 0 | B = 20 | C = 4,20",""
"93","93","Para comidas de trabajo o dietas en desplazamiento. IVA de restauración: 10%.","Comida de trabajo: 38,50 € total. Base: 35 €. IVA 10%: 3,50 €:
• A = 0 | B = 35 | C = 3,50","Si es una comida de representación con clientes, lleva a cuenta 627 (Publicidad) en lugar de 629. Requiere justificación del motivo de negocio."
"94","94","Para desplazamientos en taxi, Uber, Cabify o transporte urbano. IVA: 10%.","Taxi al aeropuerto: 22 € total. Base: 20 €. IVA 10%: 2 €:
• A = 0 | B = 20 | C = 2",""
"95","95","Para compras de material de oficina pequeño cuando tienes ticket simplificado (sin tu NIF en la factura).","Folios y bolígrafos en papelería: 24,20 € total. Base: 20 €. IVA 21%: 4,20 €:
• A = 0 | B = 20 | C = 4,20","Si el gasto supera 400 €, pide siempre factura completa con tu NIF para poder deducir el IVA."
"96","96","Para pequeñas compras en ferretería, tornillos, herramientas pequeñas, consumibles de taller...","Compra ferretería: 18,15 € total. Base: 15 €. IVA 21%: 3,15 €:
• A = 0 | B = 15 | C = 3,15",""
"97","97","Para compras en farmacia del botiquín de empresa o material sanitario de primeros auxilios.","Botiquín empresa: 30,80 € total. Base aprox.: 29 €. IVA mixto (4%+10%): 1,80 €:
• A = 0 | B = 29 | C = 1,80","Los medicamentos tributan al 4% de IVA. Los artículos de parafarmacia (vendas, apósitos...) al 10%. Aproxima si el ticket no desglosa."
"98","98","Para tickets de hotel o alojamiento en viajes de trabajo. IVA en hostelería: 10%.","Hotel 1 noche viaje trabajo: 121 € total. Base: 110 €. IVA 10%: 11 €:
• A = 0 | B = 110 | C = 11","Conserva siempre el ticket o factura con la fecha y el motivo del viaje anotado. Si pides factura completa, usa el asiento #73."
"99","99","Para gastos pagados con tarjeta de empresa cuando tienes factura (no ticket). La cuenta de pago es 572 (banco) en lugar de 570 (caja).","Gasto con tarjeta: 242 € (200 € + 42 € IVA):
• A = 0 (banco 572) | B = 200 | C = 42",""
"100","100","Para acumular varios tickets pequeños de caja del día o de la semana en un único asiento. Introduce el total de bases y el total de IVA de todos los tickets juntos.","Varios tickets del día: bases = 85 €, IVA total = 17,85 €:
• A = 0 (caja) | B = 85 | C = 17,85","Guarda todos los tickets físicos. El límite por ticket simplificado para deducir IVA es 400 € por operación."
"101","101","Para compras de embalajes, combustible para maquinaria, repuestos y materiales consumibles, cuando tienes FACTURA COMPLETA con tu NIF.","Material embalaje: 800 € + 168 € IVA. Con factura completa:
• A = 003 (proveedor) | B = 800 | C = 168","Diferencia con ticket: si tienes ticket simplificado (sin tu NIF), usa el asiento #95 o #96. Si tienes factura completa, usa este."
"102","102","Cuando contratas un profesional que NO aplica retención IRPF: empresas (SL/SA), autónomos en módulos, o primeros años de actividad (7%).","Factura de empresa de consultoría (SL): 1.500 € + 315 € IVA. Sin retención:
• A = 004 (acreedor) | B = 1.500 | C = 315
Resultado: gasto 1.500 €, IVA 315 €, deuda 1.815 €.","Si el profesional aplica retención del 7% (primeros años) o 15% (tipo general), usa el asiento #19 en su lugar."
"103","103","Cuando la aseguradora emite factura y pagas en un plazo posterior (30-60 días). Los seguros NO llevan IVA.","Prima seguro local: 480 €. A pagar en 30 días:
• A = 005 (aseguradora 410) | B = 480
Resultado: gasto seguro 480 €, deuda con aseguradora 480 €.","Los seguros están EXENTOS de IVA (art. 20.Uno.16 LIVA). No añadas IVA nunca en facturas de seguros."
"104","104","Cuando eres autónomo o empresa de servicios y emites facturas por tu trabajo (consultoría, diseño, programación, asesoría...).","Factura de consultoría a empresa española: 2.000 € + 420 € IVA (21%):
• A = 002 (cliente 430) | B = 2.000 | C = 420
Resultado: ingreso 2.000 €, IVA repercutido 420 €, derecho de cobro 2.420 €.","Si el cliente te retiene IRPF, usa el asiento #105 cuando cobres."
"105","105","Cuando cobras una factura y el cliente (empresa) te ha aplicado retención IRPF. Recibes menos dinero, pero la retención es un crédito fiscal.","Factura 2.000 € + 420 € IVA = 2.420 €. Retención 15% = 300 €. Cobras: 2.120 €:
• A = 0 (banco) | B = 2.420 (total factura) | C = 300 (retención)
Resultado: cobras 2.120 €, crédito fiscal 300 € (cuenta 473), cancela deuda cliente 2.420 €.","La cuenta 473 acumula todas las retenciones soportadas. Al hacer la declaración anual (IRPF o IS), estas retenciones reducen el impuesto a pagar."
"106","106","Cuando pagas parte de una compra ANTES de recibir la mercancía o el servicio. El proveedor emite una factura de anticipo con IVA.","Señal del 30% de pedido 5.000 €: pagas 1.500 € + 315 € IVA = 1.815 €:
• A = 001 (proveedor anticipo 407) | B = 1.500 | C = 315
Resultado: activo anticipo 1.500 €, IVA 315 €, sale banco 1.815 €.","Cuando llegue la mercancía y la factura final, usa el asiento #108 para liquidar el anticipo."
"107","107","Cuando un cliente te paga una señal o anticipo antes de que entregues el servicio o producto. Debes emitir una factura de anticipo con IVA.","Cliente paga señal 20% de proyecto 5.000 €: 1.000 € + 210 € IVA = 1.210 €:
• A = 001 (cliente anticipo 438) | B = 1.000 | C = 210
Resultado: cobras 1.210 €, IVA repercutido 210 €, anticipo pasivo 1.000 €.","Cuando entregues el trabajo, usa el asiento #109 para liquidar el anticipo."
"108","108","Cuando recibes la mercancía y la factura final, habiendo pagado un anticipo previamente (#106). Este asiento liquida el anticipo.","Pedido total: 5.000 € + 1.050 € IVA. Anticipo previo: 1.500 €. Resto a pagar: 3.500 € + 735 € IVA = 4.235 €:
• A = 001 (proveedor) | B = 5.000 | C = 1.050 | D = 1.500 (anticipo)
Resultado: cancela anticipo 1.500 €, registra compra total 5.000 €, deuda restante 4.235 €.",""
"109","109","Cuando emites la factura final al cliente, habiendo cobrado un anticipo previamente (#107).","Proyecto total: 5.000 € + 1.050 € IVA. Anticipo cobrado: 1.000 €. Resto a cobrar: 4.000 € + 840 € IVA = 4.840 €:
• A = 001 (cliente) | B = 5.000 | C = 1.050 | D = 1.000 (anticipo)
Resultado: cancela anticipo 1.000 €, registra venta total 5.000 €, derecho de cobro restante 4.840 €.",""
"110","110","Cuando el proveedor ofrece un descuento por pagar antes del vencimiento y ese descuento ya viene incluido en la propia factura.","Factura 2.000 € con descuento pronto pago 2% (40 €). Base neta: 1.960 €. IVA sobre neto: 411,60 €:
• A = 001 | B = 2.000 | C = 40 | D = 411,60
Resultado: compra neta 1.960 €, descuento 40 €, IVA 411,60 €, deuda 2.371,60 €.",""
"111","111","Cuando ofreces a tu cliente un descuento por pagar antes del plazo, incluido en la propia factura.","Venta 3.000 € con descuento 2% (60 €). Base neta: 2.940 €. IVA 617,40 €:
• A = 001 | B = 3.000 | C = 60 | D = 617,40",""
"112","112","Cuando el proveedor abona un descuento por haber alcanzado el volumen de compras pactado. Recibes una nota de abono.","Rappel 3% sobre 10.000 € de compras del trimestre = 300 €:
• A = 001 (proveedor) | B = 300
Resultado: reduce la deuda con el proveedor (400), menor gasto (6090).",""
"113","113","Cuando concedes a un cliente un descuento por volumen alcanzado. Emites nota de abono.","Rappel 2% sobre 15.000 € de ventas = 300 €:
• A = 001 (cliente) | B = 300
Resultado: reduce el derecho de cobro del cliente (430), menor ingreso (7090).",""
"114","114","Cuando un profesional (gestor, notario) te cobra gastos que pagó en tu nombre (tasas registrales, correos...). Son suplidos: dinero que recuperas.","Gestor te factura: honorarios 300 € + 63 € IVA + 45 € suplidos. Total: 408 €:
• A = 0 (suplido 555) | B = 45
Resultado: registra el suplido en tránsito (555), sin IVA sobre los suplidos.","Los suplidos NO llevan IVA ni son gasto tuyo. Regístralos por separado de los honorarios (#19 o #102)."
"115","115","Cuando tú has pagado gastos en nombre de tu cliente (tasas, correos...) y se los repercutes en la factura.","Facturas tu servicio (300 €) más suplidos que pagaste (45 €):
• A = 0 (suplido 555) | B = 45
Resultado: recuperas el suplido (555), sin IVA sobre esos 45 €.",""
"116","116","Pagos fraccionados del IS para SL/SA. Se presentan 3 veces al año.

PLAZOS:
• Abril (del 1 al 20): 1er fraccionado
• Octubre (del 1 al 20): 2º fraccionado
• Diciembre (del 1 al 20): 3er fraccionado","Pago fraccionado de abril: 1.800 €:
• A = 0 (cuenta 473) | B = 1.800
Resultado: crédito fiscal 1.800 € (cuenta 473), sale del banco.","QUIÉN PRESENTA EL 202:
• SL / SA con beneficios en el ejercicio anterior: SÍ.
• SL / SA con facturación > 6M€: SÍ obligatoriamente, aunque hayan tenido pérdidas.
• SL / SA de nueva creación sin beneficios previos: generalmente sin cuota a ingresar el primer año.
• Comunidad de Bienes: NO (no tributa en IS).
• Autónomos individuales: NO (presentan el 130 o 131).

Este importe (cuenta 473) se descuenta del IS definitivo del modelo 200 en julio. No es un impuesto doble."
"117","117","Cuando Hacienda te cobra intereses por pagar tarde o por una regularización de inspección.","Intereses de demora de una inspección: 320 €:
• A = 0 | B = 320
Resultado: gasto financiero 320 €, sale del banco.","Los intereses de demora a Hacienda NO son deducibles en el IS (art. 15 LIS)."
"118","118","Cuando recibes una sanción de Hacienda, la DGT u otro organismo.","Sanción de Hacienda por presentación tardía: 600 €:
• A = 0 | B = 600
Resultado: gasto 600 € (cuenta 659), sale del banco.","Las sanciones NUNCA son deducibles fiscalmente en el IS, independientemente de su importe o causa."
"119","119","Cuando un cliente lleva más de 6 meses sin pagar y hay dudas razonables de cobro. Reclasificas el saldo de la cuenta 430 (Clientes) a la 436 (Clientes de dudoso cobro) para control interno y para poder dotar el deterioro fiscalmente.","Cliente moroso que te debe 1.500 € desde hace 8 meses:
• A = 001 (cliente dudoso 436) | B = 1.500
Resultado: traslado de saldo de 430 a 436 (clientes de dudoso cobro).","Proceso completo de impago:
1. Cliente no paga a los 90 días → envía carta de reclamación.
2. A los 6 meses → reclasifica con este asiento #119 (430 → 436).
3. Dota el deterioro con asiento #22 (694 / 490).
4. Si finalmente cobras → revierte asiento #22 y #119.
5. Si es incobrable definitivo → baja total con asiento #120.

El deterioro es deducible en IS a partir de los 6 meses del vencimiento (art. 13 LIS). En IRPF autónomos, a partir de 6 meses también."
"120","120","Cuando confirmas que el cliente no va a pagar definitivamente (empresa liquidada, deuda prescrita, concurso cerrado...).","Baja de deuda 1.500 €. El cliente pagó 200 € como pago parcial. Pérdida: 1.300 €:
• A = 001 (cliente dudoso 436) | B = 1.500 | C = 200 (cobrado parcial)
Resultado: cobras 200 €, pérdida definitiva 1.300 € (cuenta 650), cancela saldo 436.","Deducible en IS si han pasado más de 6 meses desde el vencimiento, hay proceso judicial o el deudor está en concurso (art. 13 LIS)."
"121","121","Cuando tu banco paga al proveedor en tu nombre a través de confirming. La deuda con el proveedor pasa a ser una deuda con el banco.","El banco paga 5.800 € a tu proveedor mediante confirming:
• A = 001 (proveedor 400) | B = 5.800
Resultado: cancela deuda con proveedor, nueva deuda con banco (5209).","Cuando venza el plazo y el banco te cargue el importe, registra: 5209 debe / 572 haber."
"122","122","Al cierre del mes o ejercicio, cuando sabes que recibirás una factura pero aún no ha llegado (gas, luz, teléfono de diciembre que llega en enero).","Factura estimada luz diciembre: 400 € + 84 € IVA:
• A = 0 (proveedor pendiente 4009) | B = 400 | C = 84
Resultado: gasto devengado 400 €, IVA estimado 84 €, acreedor pendiente 484 €.","Cuando llegue la factura real, revierte este asiento y registra la factura definitiva. El IVA estimado es provisional."
"123","123","Cuando reembolsas a un empleado gastos de desplazamiento por motivos de trabajo: kilometraje, dietas de manutención o alojamiento.","Reembolso: 250 km × 0,26 €/km = 65 € + dieta 26,67 € = 91,67 €:
• A = 001 (empleado 465) | B = 91,67
Resultado: gasto 91,67 €, deuda con el empleado.","LÍMITES AEAT 2025/2026: Kilometraje: 0,26 €/km. Dieta España sin pernoctar: 26,67 €/día. Con pernoctar: 53,34 €/día. Extranjero: 48,08 €/91,35 €. Los excesos tributan como renta del trabajo."
"124","124","Cuando vendes un inmovilizado intangible (software, patente, marca) por más de su valor contable.","Software: coste 6.000 €, amortización 4.000 €, valor neto 2.000 €. Vendes por 2.800 €. Beneficio: 800 €:
• A = 001 | B = 6.000 (bruto) | C = 4.000 (amort.) | D = 2.800 (venta)
Resultado: beneficio 800 € (cuenta 770).",""
"125","125","Cuando compras un vehículo para la empresa. Salvo uso exclusivo empresarial, solo puedes deducir el 50% del IVA.","Furgoneta: 20.000 € + 4.200 € IVA. IVA deducible al 50% = 2.100 €:
• A = 001 (vehículo 218) | B = 20.000 | C = 2.100 (IVA 50%)
Resultado: activo 20.000 €, IVA deducible 2.100 €, deuda proveedor 22.100 €.","El IVA no deducible (2.100 €) o bien se añade al coste del vehículo (mayor activo) o se lleva a gasto no deducible. Consulta con tu gestor."
"126","126","Cuando el banco te abona intereses de cuentas de ahorro, depósitos o cualquier producto financiero.","Intereses depósito: 500 € brutos. Retención 19%: 95 €. Cobras 405 €:
• A = 0 (banco) | B = 405 (neto cobrado)
Resultado: ingreso financiero 405 €, entra banco.","Si quieres registrar bruto y retención por separado: 572 debe 405, 473 debe 95, 769 haber 500."
